"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","1. TVFREL","2. WT coef on TVCL","3. WT coef on TVV","4. TVCL","5. TVV","6. TVMAT","7 TVD1","GENO=1 on CL","GENO=3 on CL","GENO=4 on CL","GENO=1 on CL_","GENO=3 on CL_","GENO=4 on CL_","CLFOOD1","FRELFORM1","FRELNCIL1","1. IIV on RUV","2. IIV on FREL","3. IIV on CL","4. IIV on V","5. IIV on MAT","1. RUV","se1. TVFREL","se2. WT coef on TVCL","se3. WT coef on TVV","se4. TVCL","se5. TVV","se6. TVMAT","se7 TVD1","seGENO=1 on CL","seGENO=3 on CL","seGENO=4 on CL","seGENO=1 on CL_","seGENO=3 on CL_","seGENO=4 on CL_","seCLFOOD1","seFRELFORM1","seFRELNCIL1","se1. IIV on RUV","se2. IIV on FREL","se3. IIV on CL","se4. IIV on V","se5. IIV on MAT","se1. RUV","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21","EI22"
0,1,1,1,1,1,0,0,0,0,0,0,0,3.2,16.3242,FOCE_I,0:04:23,216.95,30.62,-7317.2409496284045,1,0.75,1,13.2659,215.676,6.43001,0.617745,0.736993,-0.235342,-0.510217,-0.423531,0.309171,2.79876,0.253277,-0.144307,0.255211,0.0258609,0.250537,0.0475327,0.154341,0.144086,0.0444071,NA,NA,NA,0.337094,8.92296,0.151535,0.00741603,0.186901,0.0512634,0.053727,0.0991659,0.12055,0.548426,0.00958177,0.0100091,0.0798255,0.0031438,0.0208854,0.0139066,0.0170048,0.0124238,0.00102286,NA,NA,NA,NA,NA,NA,0.153688,0.235034,0.254396,0.300335,0.383968,0.502683,0.54076,0.589686,0.747028,0.890524,0.964212,1.02899,1.2358,1.40895,1.50191,1.61319,1.85088,2.28912,2.50884,NA,NA,NA
1,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:12:50,759.71,0,-7213.4733038694922,1,0.75,1,13.2385,218.685,6.6482,0.627524,0.57882,-0.253701,-0.436399,-0.443363,0.275175,3.35093,0.240064,-0.142775,0.384623,0.0239502,0.238615,0.0522169,0.183067,0.135235,0.0464967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,0:13:25,790.45,0,-7240.4997251406412,1,0.75,1,13.5291,214.73,6.51692,0.652945,1.17935,-0.226924,-0.439724,-0.30922,0.249499,3.2858,0.234506,-0.143296,0.324467,0.0277017,0.23111,0.0298588,0.169961,0.12618,0.0465567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,0:15:39,925.42,0,-7193.9679448508505,1,0.75,1,13.3503,222.953,6.33494,0.613892,0.597235,-0.321692,-0.475994,-0.474368,0.0131939,3.32078,0.264685,-0.144587,0.381763,0.034199,0.270834,0.0453008,0.162396,0.141017,0.043716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,1,0,0,0,0,0,0,0,0,4,NA,FOCE_I,0:06:25,376.6,0,-7432.8658382466292,1,0.75,1,13.4536,228.587,6.40722,0.631039,0.856199,-0.247882,-0.509499,-0.425311,0.473239,2.38436,0.252336,-0.139775,0.276939,0.0215307,0.29876,0.0348181,0.188563,0.132502,0.043238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:12:30,739.63,0,-7205.9257984022825,1,0.75,1,13.4882,224.401,6.66038,0.655557,0.669682,-0.289291,-0.420307,-0.468099,0.147983,3.81654,0.261388,-0.137049,0.426314,0.0232137,0.277,0.0421973,0.154335,0.134467,0.0465734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:05:28,319.07,0,-7743.3641306399204,1,0.75,1,13.8896,242.582,6.50257,0.627643,0.995449,-0.217527,-0.459466,-0.21572,0.494628,3.33666,0.299092,-0.152941,0.354182,0.0196748,0.264303,0.0422556,0.164379,0.137336,0.042471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,1,0,0,0,0,0,0,0,0,3,NA,FOCE_I,0:11:16,662.92,0,-7387.7713918530026,1,0.75,1,13.3203,206.013,6.13546,0.577778,0.43607,-0.214748,-0.585522,-0.569493,0.453513,2.17211,0.210239,-0.135231,0.2576,0.0218449,0.259247,0.0445575,0.124544,0.160108,0.0435022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,0:13:49,814.4,0,-7708.7639927869859,1,0.75,1,12.8248,215.098,6.40456,0.598571,0.702621,-0.194416,-0.453235,-0.537445,0.372832,3.36581,0.229036,-0.147266,0.131499,0.0276979,0.220967,0.0612231,0.149742,0.159257,0.0424376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:12:28,734.89,0,-7162.2915001941628,1,0.75,1,13.6535,219.397,6.38067,0.623625,0.682093,-0.28882,-0.463118,-0.484972,0.198846,3.33711,0.237133,-0.122647,0.339944,0.0230223,0.270144,0.032145,0.173938,0.139865,0.0461002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:08:08,359.96,0,-7273.9360087513724,1,0.75,1,13.7793,230.932,6.33075,0.625182,0.949957,-0.27937,-0.50233,-0.205642,0.281194,2.51958,0.24851,-0.130102,0.389666,0.0239025,0.237577,0.0531821,0.155983,0.12179,0.046473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,1,0,0,0,0,0,1,0,0,4,0,2.5,NA,FOCE_I,0:17:37,1043.72,0,-7403.8476865333905,1,0.75,1,12.9672,198.835,6.68509,0.63756,0.576393,-0.349617,-0.575492,-0.500301,0.0237234,2.25224,0.248944,-0.1662,0.345901,0.0263492,0.233929,0.0537053,0.147534,0.158818,0.0432794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,1,0,1,0,0,1,0,2,1,0,0,3.1,NA,FOCE_I,0:13:39,807.55,0,-7083.2663990944729,1,0.75,1,13.227,210.624,6.36619,0.63432,1.20789,-0.178068,-0.541846,-0.365113,0.305254,2.64393,0.241253,-0.170938,0.217493,0.0283256,0.314865,4.75327e-06,0.20361,0.129916,0.0463639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,0:11:25,673.07,0,-7096.7822770914736,1,0.75,1,13.6092,216.715,6.67131,0.632498,1.04754,-0.313257,-0.533407,-0.27726,0.157715,2.05087,0.2679,-0.136035,0.250592,0.0253027,0.204768,0.0704968,0.160738,0.145477,0.0457584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
