"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","1. TVFREL","2. WT coef on TVCL","3. WT coef on TVV","4. TVCL","5. TVV","6. TVMAT","7 TVD1","GENO=1 on CL","GENO=3 on CL","GENO=4 on CL","GENO=1 on CL_","GENO=3 on CL_","GENO=4 on CL_","CLFOOD1","FRELFORM1","FRELNCIL1","1. IIV on RUV","2. IIV on FREL","3. IIV on CL","4. IIV on V","5. IIV on MAT","1. RUV","se1. TVFREL","se2. WT coef on TVCL","se3. WT coef on TVV","se4. TVCL","se5. TVV","se6. TVMAT","se7 TVD1","seGENO=1 on CL","seGENO=3 on CL","seGENO=4 on CL","seGENO=1 on CL_","seGENO=3 on CL_","seGENO=4 on CL_","seCLFOOD1","seFRELFORM1","seFRELNCIL1","se1. IIV on RUV","se2. IIV on FREL","se3. IIV on CL","se4. IIV on V","se5. IIV on MAT","se1. RUV","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21","EI22"
0,input,1,1,1,1,1,0,0,0,0,0,0,0,3.2,16.3242,FOCE_I,0:09:31,479.85,67.25,-7317.2409496284045,0,NA,NA,NA,NA,NA,NA,1,0.75,1,13.2659,215.676,6.43001,0.617745,0.736993,-0.235342,-0.510217,-0.423531,0.309171,2.79876,0.253277,-0.144307,0.255211,0.0258609,0.250537,0.0475327,0.154341,0.144086,0.0444071,NA,NA,NA,0.337094,8.92296,0.151535,0.00741603,0.186901,0.0512634,0.053727,0.0991659,0.12055,0.548426,0.00958177,0.0100091,0.0798255,0.0031438,0.0208854,0.0139066,0.0170048,0.0124238,0.00102286,NA,NA,NA,NA,NA,NA,0.153688,0.235034,0.254396,0.300335,0.383968,0.502683,0.54076,0.589686,0.747028,0.890524,0.964212,1.02899,1.2358,1.40895,1.50191,1.61319,1.85088,2.28912,2.50884,NA,NA,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7299.3507144201085,17.890235208296,0.000130372137061017,0.000209890773607877,0.621142772595525,0.000147251678116402,0,0,1,0.75,1,13.759,222.297,6.50547,0.621486,0.797407,-0.175614,-0.649195,-0.403202,0.411875,1.45284,0.253683,-0.141781,0.292677,0.0264902,0.250607,0.0627156,0.15849,0.144836,0.0447341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7302.9925766233027,14.2483730051017,0.000805387924725153,0.000156742660447234,5.13828157839823,0.00121811058332386,1,6,1,0.75,1,13.4539,215.65,6.51554,0.616196,0.742618,-0.237304,-0.502009,-0.448126,0.469005,2.12033,0.248149,-0.146125,0.287976,0.0273424,0.260725,0.0558412,0.17445,0.146293,0.0449319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7293.7645986271973,23.4763510012071,7.98316586209548e-06,6.48183899085877e-06,1.23162051284427,0.000291975042325736,1,28,1,0.75,1,13.3247,217.094,6.34826,0.613469,0.5251,-0.293484,-0.559437,-0.46951,0.22481,1.70829,0.260888,-0.170734,0.276258,0.02669,0.266238,0.045312,0.180083,0.134474,0.0432369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7299.9284770006425,17.312472627762,0.000174038100577976,8.06195679318134e-05,2.15875754537874,0.0005117674796008,0,0,1,0.75,1,13.1672,213.129,6.42182,0.614186,0.556167,-0.206418,-0.57835,-0.416862,0.255039,1.71463,0.247167,-0.163858,0.346292,0.0262829,0.268367,0.039004,0.156015,0.148511,0.0445012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7311.4580847039742,5.78286492443021,0.055496658779391,0.0347800303659009,1.59564722041765,0.000378273307288844,1,75,1,0.75,1,13.31,214.108,6.49253,0.623173,0.784705,-0.191868,-0.527919,-0.420671,0.426706,2.70742,0.257779,-0.146301,0.167129,0.0266346,0.245055,0.0386463,0.150511,0.149145,0.0447272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7297.6584680676615,19.582481560743,5.59394456272207e-05,0.000461921013302639,0.121101755530161,2.87090786714678e-05,0,0,1,0.75,1,13.5036,218.52,6.40899,0.620705,0.584338,-0.192393,-0.531437,-0.601977,0.383453,2.42276,0.244004,-0.13682,0.46762,0.0255377,0.21953,0.0509276,0.163195,0.145579,0.0439483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7294.2380544921480,23.0028951362565,1.01154402064518e-05,1.18178658427826e-07,85.5944748486842,0.0202915184962932,1,23,1,0.75,1,13.8436,221.377,6.64279,0.617824,0.789707,-0.200178,-0.539202,-0.192675,0.532151,2.50918,0.249166,-0.12761,0.242889,0.0300437,0.261156,0.0373381,0.196723,0.1558,0.0437818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7299.0548402804889,18.1861093479156,0.00011244406342656,4.12575472620542e-05,2.72541803593784,0.000646103274587868,0,0,1,0.75,1,13.209,216.577,6.43563,0.632493,0.95683,-0.293696,-0.564099,-0.280492,0.246709,2.68088,0.248995,-0.159445,0.171518,0.0244078,0.23499,0.0407091,0.146105,0.14252,0.0436448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:52,0,0,-7300.5260504280659,16.7148992003386,0.000234642002221181,0.00055544068371455,0.422442952237484,0.000100146755898782,0,0,1,0.75,1,13.6226,215.407,6.44038,0.620393,0.413016,-0.190821,-0.502269,-0.608036,0.254992,3.07516,0.25592,-0.155007,0.342258,0.0296874,0.257869,0.0470328,0.150771,0.150966,0.0448334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
