"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","1. TVFREL","2. WT coef on TVCL","3. WT coef on TVV","4. TVCL","5. TVV","6. TVMAT","7 TVD1","GENO2=1 on CL","GENO3=1 on CL","GENO4=1 on CL","CLFOOD1","FRELFORM1","FRELGENO41","FRELSEX1","1. IIV on RUV","2. IIV on FREL","3. IIV on CL","4. IIV on V","5. IIV on MAT","1. RUV","se1. TVFREL","se2. WT coef on TVCL","se3. WT coef on TVV","se4. TVCL","se5. TVV","se6. TVMAT","se7 TVD1","seGENO2=1 on CL","seGENO3=1 on CL","seGENO4=1 on CL","seCLFOOD1","seFRELFORM1","seFRELGENO41","seFRELSEX1","se1. IIV on RUV","se2. IIV on FREL","se3. IIV on CL","se4. IIV on V","se5. IIV on MAT","se1. RUV","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20"
0,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,0:01:09,56.93,0,-7299.6992461407881,1,0.75,1,11.9073,191.231,6.46561,0.616452,1.24397,-0.335273,-0.515272,0.252272,-0.144547,2.63896,-0.138916,0.0257308,0.25561,0.0476162,0.158696,0.143507,0.0443912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,0:04:12,232.52,0,-7876.4210085501900,1,0.75,1,12.4461,203.82,6.4575,0.612526,1.23004,-0.322413,-0.521494,0.282112,-0.139295,2.38148,-0.094233,0.0282364,0.231645,0.0477923,0.166144,0.150444,0.0449928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,1,0,0,1,0,4,1,0,0,3.5,NA,FOCE_I,0:06:10,351.3,0,-6963.1093128851862,1,0.75,1,11.8354,190.482,6.37016,0.621898,1.05918,-0.304879,-0.497017,0.255372,-0.150483,2.99639,-0.124909,0.0275747,0.285866,0.0347719,0.154697,0.128211,0.0435044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,1,0,0,1,0,3,1,0,0,3.4,NA,FOCE_I,0:03:55,217.18,0,-7493.6781392331759,1,0.75,1,11.6292,190.094,6.45221,0.603333,1.12528,-0.348048,-0.440062,0.234475,-0.137748,2.99639,-0.138109,0.0217874,0.260056,0.0640333,0.14268,0.154575,0.0440183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,1,0,0,0,0,0,0,1,0,3.4,NA,FOCE_I,0:03:22,183.49,0,-7126.9151158915110,1,0.75,1,11.8862,180.559,6.75171,0.663768,1.33104,-0.350116,-0.532196,0.212965,-0.130999,2.01438,-0.184312,0.0342362,0.299515,0.045471,0.153896,0.163229,0.0426095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,0:04:37,259,0,-6904.9508658963914,1,0.75,1,12.2011,187.782,6.46185,0.603572,1.21242,-0.32208,-0.452719,0.233253,-0.144358,2.88837,-0.0961774,0.0202978,0.297661,0.02909,0.148846,0.139863,0.0472837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:04:08,230.98,0,-7856.5437557247524,1,0.75,1,12.3614,194.993,6.74256,0.614742,1.03432,-0.316414,-0.515182,0.280012,-0.149123,2.98792,-0.0959569,0.0356725,0.192645,0.055588,0.163398,0.131835,0.0432821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:03:17,178.2,0,-7310.2586552329039,1,0.75,1,12.0517,190.799,6.4569,0.593622,1.26664,-0.349466,-0.610578,0.267445,-0.155004,1.58743,-0.107746,0.0284413,0.294334,0.0549255,0.167406,0.133729,0.043911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,0:04:00,220.42,0,-7836.1213574383819,1,0.75,1,12.5684,202.25,6.39399,0.61964,0.850388,-0.269473,-0.494961,0.247828,-0.142614,2.57938,-0.0624024,0.0279447,0.246437,0.0415769,0.124755,0.132623,0.0425043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:02:28,128.92,0,-7185.3406173490130,1,0.75,1,11.9904,183.226,6.66975,0.645737,1.46403,-0.321834,-0.574658,0.24627,-0.141896,1.96555,-0.161976,0.0243341,0.283964,0.0343149,0.167191,0.137056,0.0444499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
