"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","1. TVFREL","2. WT coef on TVCL","3. WT coef on TVV","4. TVCL","5. TVV","6. TVMAT","7 TVD1","GENO2=1 on CL","GENO3=1 on CL","GENO4=1 on CL","CLFOOD1","FRELFORM1","FRELGENO41","FRELSEX1","1. IIV on RUV","2. IIV on FREL","3. IIV on CL","4. IIV on V","5. IIV on MAT","1. RUV","se1. TVFREL","se2. WT coef on TVCL","se3. WT coef on TVV","se4. TVCL","se5. TVV","se6. TVMAT","se7 TVD1","seGENO2=1 on CL","seGENO3=1 on CL","seGENO4=1 on CL","seCLFOOD1","seFRELFORM1","seFRELGENO41","seFRELSEX1","se1. IIV on RUV","se2. IIV on FREL","se3. IIV on CL","se4. IIV on V","se5. IIV on MAT","se1. RUV","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20"
0,1,1,0,1,0,0,0,0,0,0,1,0,3.1,NA,FOCE_I,0:01:09,56.93,0,-7299.6992461407881,1,0.75,1,11.9073,191.231,6.46561,0.616452,1.24397,-0.335273,-0.515272,0.252272,-0.144547,2.63896,-0.138916,0.0257308,0.25561,0.0476162,0.158696,0.143507,0.0443912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,1,1,10,1,3,0,NA,NA,FOCE_I,0:05:41,319.62,0,-7477.0095740355655,1,0.75,1,11.7217,187.614,6.59787,0.630714,0.987808,-0.363644,-0.511001,0.251368,-0.15195,2.99639,-0.196653,0.0294553,0.242525,0.0654331,0.150023,0.139267,0.0424293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,0:03:21,179.29,0,-7661.6528191467360,1,0.75,1,12.215,196.986,6.35717,0.601798,1.14081,-0.298002,-0.520536,0.219957,-0.142291,2.1471,-0.120178,0.0335222,0.240229,0.044056,0.151799,0.13298,0.0413496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,1,0,0,1,0,3,1,0,0,3.2,NA,FOCE_I,0:02:53,155.34,0,-7210.5664122918461,1,0.75,1,11.5672,181.801,6.28332,0.599875,0.837955,-0.333409,-0.517974,0.212719,-0.139808,2.99639,-0.188332,0.0292949,0.288794,0.0545687,0.175039,0.14112,0.0457062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,1,0,0,0,0,0,0,1,0,3.3,NA,FOCE_I,0:03:20,182.62,0,-7145.2560446848438,1,0.75,1,11.4188,180.011,6.5415,0.632617,1.57271,-0.344883,-0.559615,0.26701,-0.151867,2.61249,-0.182433,0.0255332,0.223266,0.0332204,0.221334,0.137489,0.044632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,1,0,0,1,0,3,1,0,0,3.3,NA,FOCE_I,0:03:49,207.99,0,-7686.6334967519779,1,0.75,1,11.8808,192.671,6.52133,0.615287,1.17517,-0.273145,-0.459886,0.23807,-0.149365,2.99639,-0.128281,0.0264367,0.267457,0.0637555,0.14575,0.150657,0.0450424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:03:19,180.57,0,-7191.1693454788656,1,0.75,1,11.7322,190.348,6.40634,0.599117,1.0177,-0.325222,-0.532248,0.234936,-0.148327,2.50984,-0.130604,0.0243485,0.317473,0.0415724,0.17468,0.150753,0.044811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,1,0,0,1,0,5,1,0,0,3.9,NA,FOCE_I,0:04:15,233.7,0,-7554.3542624383763,1,0.75,1,11.5443,184.808,6.6285,0.610591,1.5007,-0.280305,-0.415484,0.253603,-0.141338,2.99639,-0.182668,0.0294412,0.29789,0.0316243,0.157481,0.162194,0.0420004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:03:05,164.55,0,-6801.8754738259731,1,0.75,1,12.0528,177.819,6.46898,0.621126,1.20833,-0.35068,-0.488971,0.191435,-0.140182,2.56454,-0.155157,0.0234442,0.279765,0.0343978,0.146712,0.131101,0.0442402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,0:03:26,185.04,0,-7221.8085917848903,1,0.75,1,11.23,180.298,6.34833,0.583772,1.19167,-0.253941,-0.532885,0.244537,-0.160317,2.88932,-0.181765,0.0263814,0.257901,0.0646933,0.132673,0.134058,0.0444619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,0:03:07,170.13,0,-6403.3187924278745,1,0.75,1,11.5763,194.327,6.29844,0.626064,0.830493,-0.305332,-0.519845,0.23562,-0.154128,2.3377,-0.154736,0.0246899,0.240133,0.0596264,0.157636,0.127914,0.0437948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,1,0,1,0,0,1,0,8,1,0,0,3.1,NA,FOCE_I,0:03:13,171.82,0,-7125.9165983802468,1,0.75,1,11.9325,188.675,6.63775,0.611764,0.961562,-0.338681,-0.444412,0.234934,-0.162522,2.99639,-0.115146,0.0236864,0.282637,0.0221811,0.175812,0.144368,0.0458789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,0:02:34,133.82,0,-7691.0410499545033,1,0.75,1,10.9228,172.323,6.4038,0.590658,1.55002,-0.283605,-0.544918,0.252683,-0.154821,1.95079,-0.232005,0.0279717,0.272139,0.0304761,0.177585,0.118695,0.04132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,1,0,1,0,0,1,0,3,1,0,0,4.1,NA,FOCE_I,0:04:14,234.2,0,-6815.1737603374913,1,0.75,1,11.8318,182.602,6.34564,0.631423,1.46675,-0.36616,-0.457669,0.228563,-0.139195,2.99639,-0.137452,0.023993,0.276408,0.0495981,0.16837,0.125475,0.0471859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,1,0,0,0,0,0,1,0,0,0,0,2,NA,FOCE_I,0:04:18,241.38,0,-7490.6409014562250,1,0.75,1,11.8256,190.162,6.43833,0.604059,1.11546,-0.341244,-0.486085,0.245471,-0.148213,2.83205,-0.188116,0.0267129,0.275117,0.0467013,0.179697,0.142963,0.0446563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,1,0,1,0,0,1,0,3,1,0,0,3.2,NA,FOCE_I,0:03:31,193.93,0,-7669.9226740888116,1,0.75,1,11.6688,183.604,6.41284,0.607428,0.858296,-0.36806,-0.451926,0.272228,-0.155233,2.99639,-0.158913,0.0187168,0.266001,0.0539235,0.152684,0.139128,0.0470396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1,0,1,0,0,0,0,0,0,1,0,3.2,NA,FOCE_I,0:03:21,180.24,0,-7305.5540093969421,1,0.75,1,11.3805,177.755,6.53139,0.62898,1.32532,-0.338816,-0.48228,0.23611,-0.156395,2.71707,-0.175463,0.0292767,0.261533,0.0501284,0.139557,0.131962,0.0435362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:03:11,171.32,0,-7233.9739519665409,1,0.75,1,11.1336,182.358,6.57833,0.621758,1.77634,-0.292301,-0.533707,0.278414,-0.146044,2.16158,-0.187685,0.0262224,0.238846,0.061804,0.137963,0.162167,0.0448549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,0:03:13,173.77,0,-7277.4358991805475,1,0.75,1,12.2485,201.791,6.51162,0.61259,1.20589,-0.369484,-0.55876,0.274249,-0.139538,2.57284,-0.133714,0.0347043,0.228952,0.0548352,0.168602,0.146111,0.0419025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,1,0,1,0,0,0,0,0,0,0,0,3.6,NA,FOCE_I,0:03:15,176.52,0,-7217.4081402832708,1,0.75,1,11.8927,195.29,6.61557,0.635371,1.38898,-0.336386,-0.506648,0.280882,-0.146827,2.45993,-0.112462,0.0217763,0.245127,0.0538214,0.175421,0.151425,0.0443123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,1,0,1,0,0,1,0,3,1,0,0,3.4,NA,FOCE_I,0:04:19,240.41,0,-7408.9189983737651,1,0.75,1,11.5126,191.617,6.62324,0.622074,1.07656,-0.308464,-0.420131,0.294649,-0.144737,2.99639,-0.118537,0.0275606,0.21205,0.0685739,0.147201,0.156424,0.0447753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FOCE_I,0:03:40,199.98,0,-7197.1612431075318,1,0.75,1,11.8841,200.85,6.32167,0.607357,1.66272,-0.338386,-0.48958,0.256503,-0.145028,2.88497,-0.136385,0.0270307,0.21556,0.0572298,0.178739,0.145672,0.044803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,1,0,1,0,0,1,0,4,1,0,0,3.6,NA,FOCE_I,0:03:01,162.76,0,-7639.9719149110970,1,0.75,1,11.5385,180.26,6.4123,0.602857,0.856039,-0.338867,-0.486984,0.289183,-0.156239,2.99639,-0.1924,0.0153082,0.27644,0.0290672,0.148525,0.130207,0.0456188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,1,0,1,0,0,0,0,0,0,0,0,3.4,NA,FOCE_I,0:03:48,211.4,0,-7181.5361618300531,1,0.75,1,11.4895,186.032,6.62654,0.590943,1.01478,-0.342315,-0.534872,0.262767,-0.158357,2.94212,-0.195861,0.0294231,0.295427,0.0227297,0.170962,0.138609,0.0453813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,1,0,1,0,0,0,0,0,0,0,0,4,NA,FOCE_I,0:02:49,151,0,-7289.9515964422662,1,0.75,1,11.7019,188.927,6.54984,0.626222,1.04555,-0.33673,-0.584216,0.234817,-0.132037,1.56632,-0.126718,0.0309237,0.219828,0.0796236,0.153892,0.135652,0.0431592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,0:02:56,159,0,-6823.6812169010236,1,0.75,1,11.4324,187.244,6.57402,0.624072,1.53398,-0.357206,-0.559707,0.288392,-0.156242,2.53744,-0.188676,0.0188219,0.235199,0.0749633,0.164038,0.138283,0.0484278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,0:02:40,143.04,0,-7680.5558222175014,1,0.75,1,12.2528,186.746,6.60655,0.634628,0.937777,-0.321062,-0.533101,0.262981,-0.146021,1.93627,-0.137921,0.0312228,0.236278,0.0527924,0.12535,0.14004,0.043771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
