"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","1. TVFREL","2. WT coef on TVCL","3. WT coef on TVV","4. TVCL","5. TVV","6. TVMAT","7 TVD1","GENO2=1 on CL","GENO3=1 on CL","GENO4=1 on CL","CLFOOD1","FRELFORM1","FRELGENO41","FRELSEX1","1. IIV on RUV","2. IIV on FREL","3. IIV on CL","4. IIV on V","5. IIV on MAT","1. RUV","se1. TVFREL","se2. WT coef on TVCL","se3. WT coef on TVV","se4. TVCL","se5. TVV","se6. TVMAT","se7 TVD1","seGENO2=1 on CL","seGENO3=1 on CL","seGENO4=1 on CL","seCLFOOD1","seFRELFORM1","seFRELGENO41","seFRELSEX1","se1. IIV on RUV","se2. IIV on FREL","se3. IIV on CL","se4. IIV on V","se5. IIV on MAT","se1. RUV","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20"
0,input,1,1,1,0,1,0,0,1,0,0,0,0,2.8,18.5019,FOCE_I,0:02:42,138.42,8.39,-7299.6992434565745,0,NA,NA,NA,NA,NA,NA,1,0.75,1,11.9074,191.231,6.46559,0.616457,1.24406,-0.335273,-0.515362,0.252274,-0.144548,2.63899,-0.138915,0.0257292,0.255608,0.0476135,0.158695,0.14351,0.0443912,NA,NA,NA,0.364965,8.19984,0.150958,0.00740508,0.157092,0.0379557,0.0538703,0.00956109,0.0100045,0.539897,0.0369792,0.00312374,0.0199199,0.0134716,0.0168806,0.0123469,0.00101964,NA,NA,NA,NA,NA,NA,0.134067,0.249902,0.327337,0.369977,0.524364,0.544714,0.65433,0.737668,0.886641,1.01914,1.12623,1.14081,1.42759,1.5385,1.73117,2.10706,2.4805,NA,NA,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7285.8849442414867,13.8142992150879,0.00100060585489418,0.000133459693473799,7.49743858126433,0.000684940839636157,1,418,1,0.75,1,11.5886,191.389,6.22507,0.59477,1.28888,-0.332375,-0.513118,0.250699,-0.13327,2.69703,-0.157638,0.0269306,0.241069,0.0638814,0.182952,0.128161,0.0450767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7276.3222355725502,23.3770078840244,8.3897155458405e-06,8.09059860769659e-06,1.03697092794337,9.47341855975622e-05,0,0,1,0.75,1,11.595,190.639,6.65631,0.607715,1.32974,-0.352736,-0.609701,0.235849,-0.152456,2.39359,-0.159166,0.0263462,0.280229,0.0359687,0.174822,0.134601,0.0419172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7280.0986925079869,19.6005509485876,5.54363260457919e-05,6.72920804192892e-05,0.823816498172958,7.52611118915694e-05,1,986,1,0.75,1,12.0168,189.525,6.41141,0.604116,1.02068,-0.377495,-0.528241,0.256963,-0.154669,2.74608,-0.111835,0.0281534,0.234722,0.0348893,0.167334,0.16581,0.0419878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7285.0676992949557,14.6315441616189,0.000664967706055983,0.000515749307355383,1.28932350770523,0.000117788270801857,0,0,1,0.75,1,11.1557,184.759,6.21047,0.616511,1.529,-0.348416,-0.49136,0.26589,-0.137885,2.45229,-0.203132,0.0245542,0.240952,0.0495281,0.155744,0.141294,0.0451164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7294.7920258026579,4.90721765391663,0.0859827291306822,0.029656362971815,2.89930121277512,0.000264870433483622,1,81,1,0.75,1,11.9594,192.963,6.56075,0.628908,1.29696,-0.328569,-0.504983,0.249596,-0.147256,2.70268,-0.130391,0.0317703,0.254396,0.0432943,0.166973,0.155012,0.0432256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7291.5225734853666,8.17666997120796,0.0167671278391792,0.0124179944025219,1.35022832960643,0.000123352331033727,0,0,1,0.75,1,12.1421,195.398,6.6816,0.629918,1.06398,-0.317597,-0.490777,0.262893,-0.143895,2.80434,-0.106263,0.0287251,0.25522,0.0443536,0.159893,0.159832,0.0432407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7285.3728439286433,14.3263995279312,0.000774572135751867,4.15834774682982e-05,18.6269206644003,0.00170169299040245,1,299,1,0.75,1,12.0291,194.305,6.37181,0.605721,1.43947,-0.374855,-0.496502,0.247656,-0.131365,2.49716,-0.133166,0.021855,0.235113,0.0416636,0.204203,0.140134,0.0437415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7290.6749941477974,9.02424930877714,0.0109751170559391,0.000387262197770519,28.340274674686,0.00258907243064408,1,93,1,0.75,1,11.7758,181.113,6.53724,0.612814,1.303,-0.370468,-0.537444,0.244406,-0.141162,2.90438,-0.166686,0.0281412,0.241907,0.0568003,0.169259,0.139229,0.0450289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:19:45,0,0,-7285.6123957984164,14.0868476581581,0.00087313198404477,0.000376215062089557,2.32083207725724,0.00021202343365953,1,73,1,0.75,1,11.4543,179.254,6.62804,0.629949,1.39133,-0.370078,-0.441564,0.258814,-0.158444,2.65252,-0.189521,0.0277752,0.27,0.0329233,0.176729,0.140154,0.0442029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
