"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","1. TVFREL","2. WT coef on TVCL","3. WT coef on TVV","4. TVCL","5. TVV","6. TVMAT","7 TVD1","GENO2=1 on CL","GENO3=1 on CL","GENO4=1 on CL","CLFOOD1","FRELFORM1","FRELGENO41","FRELSEX1","1. IIV on RUV","2. IIV on FREL","3. IIV on CL","4. IIV on V","5. IIV on MAT","1. RUV","se1. TVFREL","se2. WT coef on TVCL","se3. WT coef on TVV","se4. TVCL","se5. TVV","se6. TVMAT","se7 TVD1","seGENO2=1 on CL","seGENO3=1 on CL","seGENO4=1 on CL","seCLFOOD1","seFRELFORM1","seFRELGENO41","seFRELSEX1","se1. IIV on RUV","se2. IIV on FREL","se3. IIV on CL","se4. IIV on V","se5. IIV on MAT","se1. RUV","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20"
0,input,1,1,1,0,1,0,0,1,0,0,0,0,2.8,18.5019,FOCE_I,0:02:42,138.42,8.39,-7299.6992434565745,0,NA,NA,NA,NA,NA,NA,1,0.75,1,11.9074,191.231,6.46559,0.616457,1.24406,-0.335273,-0.515362,0.252274,-0.144548,2.63899,-0.138915,0.0257292,0.255608,0.0476135,0.158695,0.14351,0.0443912,NA,NA,NA,0.364965,8.19984,0.150958,0.00740508,0.157092,0.0379557,0.0538703,0.00956109,0.0100045,0.539897,0.0369792,0.00312374,0.0199199,0.0134716,0.0168806,0.0123469,0.00101964,NA,NA,NA,NA,NA,NA,0.134067,0.249902,0.327337,0.369977,0.524364,0.544714,0.65433,0.737668,0.886641,1.01914,1.12623,1.14081,1.42759,1.5385,1.73117,2.10706,2.4805,NA,NA,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7277.1276228836332,22.5716205729414,1.25497440568532e-05,3.7160262971059e-06,3.37719463035747,0.000652883820639552,1,126,1,0.75,1,12.8039,204.564,6.26677,0.628981,1.11717,-0.447947,-0.524863,0.262268,-0.149294,2.6144,-0.121175,0.0235471,0.247128,0.0493883,0.171142,0.149408,0.0450996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7287.6073476783595,12.0918957782151,0.00236743570856118,0.00175372899857404,1.34994386845752,0.000260972969270117,0,0,1,0.75,1,11.698,191.215,6.36678,0.617125,1.39822,-0.338812,-0.574249,0.251674,-0.164075,1.86789,-0.145824,0.0297633,0.238437,0.0488028,0.181035,0.147793,0.043678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7284.0332909920280,15.6659524645465,0.000396443813831601,0.00095826800045715,0.41370870533345,7.99787248688582e-05,0,0,1,0.75,1,11.9235,182.256,6.71057,0.623491,1.37894,-0.380478,-0.55722,0.25131,-0.161266,2.05989,-0.144455,0.0275797,0.221882,0.0589927,0.141522,0.136832,0.0446465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7271.2464080988921,28.4528353576825,6.63048512105242e-07,1.51019639941408e-06,0.439047869775407,8.48773263127814e-05,0,0,1,0.75,1,11.5657,172.611,6.70515,0.619845,1.04874,-0.329226,-0.562519,0.267424,-0.152585,2.78651,-0.217455,0.0259594,0.257575,0.0500027,0.163406,0.115605,0.0451203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7287.6504128886327,12.0488305679419,0.00241896556186936,0.00151895989943457,1.59251443225711,0.000307867037809898,0,0,1,0.75,1,11.877,187.035,6.53493,0.613309,1.44257,-0.356196,-0.468626,0.266206,-0.15528,2.41079,-0.123297,0.0288187,0.246512,0.0388926,0.1631,0.131721,0.0434723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7287.8752884454252,11.8239550111493,0.00270682882224521,6.97678091109807e-05,38.797675557497,0.00750041896378095,1,112,1,0.75,1,11.7323,185.529,6.63315,0.615316,1.3264,-0.357546,-0.478129,0.227645,-0.147673,2.94001,-0.126929,0.0276536,0.279445,0.0318499,0.191642,0.156913,0.0442976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7292.8817774395111,6.81746601706345,0.033083089826049,0.0102763263429339,3.21934986511958,0.000622369057744303,0,0,1,0.75,1,12.1084,196.726,6.44114,0.624858,1.12405,-0.370611,-0.531137,0.250621,-0.145465,2.34792,-0.129168,0.0234784,0.246833,0.0594847,0.139563,0.142629,0.04373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7285.9627790740005,13.736464382574,0.0010403145170721,0.000507742148380525,2.04890320882411,0.000396096731610677,0,0,1,0.75,1,11.6337,194.979,6.57582,0.618695,1.34136,-0.267645,-0.541265,0.25565,-0.14302,1.89843,-0.127738,0.0265655,0.264817,0.0532494,0.170935,0.158504,0.0434154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7283.0364231421190,16.6628203144555,0.000240832194054204,2.27969476045673e-05,10.5642298360134,0.0020422911594884,0,0,1,0.75,1,12.2344,187.101,6.3678,0.626862,0.979079,-0.349934,-0.576205,0.250273,-0.137412,2.19149,-0.139886,0.0226109,0.266536,0.0335071,0.144116,0.151305,0.0467273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,10,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7278.4714150036480,21.2278284529266,2.45717235223086e-05,2.9651109889988e-06,8.28694899228898,0.00160204415549424,0,0,1,0.75,1,12.6626,197.655,6.85414,0.628187,1.41733,-0.362544,-0.518972,0.260913,-0.148854,2.7568,-0.0925537,0.0280618,0.26137,0.0325054,0.175753,0.127316,0.0431233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,11,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7280.7827357916485,18.916507664926,7.80427478169797e-05,0.000286081894961392,0.272798625818359,5.27377982567316e-05,0,0,1,0.75,1,11.9126,190.36,6.78471,0.615475,1.32859,-0.397988,-0.541827,0.241618,-0.160595,2.57104,-0.118698,0.0272059,0.267165,0.0338044,0.158712,0.150891,0.0441149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,12,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:20:48,0,0,-7282.1893446382210,17.5098988183536,0.000157678972866841,4.09130684346535e-05,3.85400017401986,0.000745060511390557,1,155,1,0.75,1,12.7787,195.991,6.62678,0.613714,1.16048,-0.414533,-0.522465,0.245831,-0.135176,2.33159,-0.0622901,0.0288003,0.257328,0.053523,0.159507,0.157491,0.0427739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
