"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","1. TVFREL","2. WT coef on TVCL","3. WT coef on TVV","4. TVCL","5. TVV","6. TVMAT","7 TVD1","TVRUV","GENO=1 on CL","GENO=3 on CL","GENO=4 on CL","CLFOOD1","FRELFORM1","FRELGENO1","FRELGENO2","FRELGENO3","TV_AGE","TV_BMI","TV_CRCL","TV_SEX","TV_RACEL_3","TV_RACEL_2","1. IIV on RUV","D1","2. IIV on FREL","OMEGA(4,3)","3. IIV on CL","OMEGA(5,3)","OMEGA(5,4)","4. IIV on V","OMEGA(6,3)","OMEGA(6,4)","OMEGA(6,5)","5. IIV on MAT","OMEGA(7,3)","OMEGA(7,4)","OMEGA(7,5)","OMEGA(7,6)","BSV_AGE","OMEGA(8,3)","OMEGA(8,4)","OMEGA(8,5)","OMEGA(8,6)","OMEGA(8,7)","BSV_BMI","OMEGA(9,3)","OMEGA(9,4)","OMEGA(9,5)","OMEGA(9,6)","OMEGA(9,7)","OMEGA(9,8)","BSV_CRCL","OMEGA(10,3)","OMEGA(10,4)","OMEGA(10,5)","OMEGA(10,6)","OMEGA(10,7)","OMEGA(10,8)","OMEGA(10,9)","BSV_SEX","OMEGA(11,3)","OMEGA(11,4)","OMEGA(11,5)","OMEGA(11,6)","OMEGA(11,7)","OMEGA(11,8)","OMEGA(11,9)","OMEGA(11,10)","BSV_RACEL_3","OMEGA(12,3)","OMEGA(12,4)","OMEGA(12,5)","OMEGA(12,6)","OMEGA(12,7)","OMEGA(12,8)","OMEGA(12,9)","OMEGA(12,10)","OMEGA(12,11)","BSV_RACEL_2","1. RUV","EPSCOV","se1. TVFREL","se2. WT coef on TVCL","se3. WT coef on TVV","se4. TVCL","se5. TVV","se6. TVMAT","se7 TVD1","seTVRUV","seGENO=1 on CL","seGENO=3 on CL","seGENO=4 on CL","seCLFOOD1","seFRELFORM1","seFRELGENO1","seFRELGENO2","seFRELGENO3","seTV_AGE","seTV_BMI","seTV_CRCL","seTV_SEX","seTV_RACEL_3","seTV_RACEL_2","se1. IIV on RUV","seD1","se2. IIV on FREL","seOMEGA(4,3)","se3. IIV on CL","seOMEGA(5,3)","seOMEGA(5,4)","se4. IIV on V","seOMEGA(6,3)","seOMEGA(6,4)","seOMEGA(6,5)","se5. IIV on MAT","seOMEGA(7,3)","seOMEGA(7,4)","seOMEGA(7,5)","seOMEGA(7,6)","seBSV_AGE","seOMEGA(8,3)","seOMEGA(8,4)","seOMEGA(8,5)","seOMEGA(8,6)","seOMEGA(8,7)","seBSV_BMI","seOMEGA(9,3)","seOMEGA(9,4)","seOMEGA(9,5)","seOMEGA(9,6)","seOMEGA(9,7)","seOMEGA(9,8)","seBSV_CRCL","seOMEGA(10,3)","seOMEGA(10,4)","seOMEGA(10,5)","seOMEGA(10,6)","seOMEGA(10,7)","seOMEGA(10,8)","seOMEGA(10,9)","seBSV_SEX","seOMEGA(11,3)","seOMEGA(11,4)","seOMEGA(11,5)","seOMEGA(11,6)","seOMEGA(11,7)","seOMEGA(11,8)","seOMEGA(11,9)","seOMEGA(11,10)","seBSV_RACEL_3","seOMEGA(12,3)","seOMEGA(12,4)","seOMEGA(12,5)","seOMEGA(12,6)","seOMEGA(12,7)","seOMEGA(12,8)","seOMEGA(12,9)","seOMEGA(12,10)","seOMEGA(12,11)","seBSV_RACEL_2","se1. RUV","seEPSCOV","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_eta6(%)","shrinkage_eta7(%)","shrinkage_eta8(%)","shrinkage_eta9(%)","shrinkage_eta10(%)","shrinkage_eta11(%)","shrinkage_eta12(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21","EI22","EI23","EI24","EI25","EI26","EI27","EI28","EI29","EI30","EI31","EI32","EI33","EI34","EI35","EI36","EI37","EI38","EI39","EI40","EI41","EI42","EI43","EI44","EI45","EI46","EI47","EI48","EI49","EI50","EI51","EI52","EI53","EI54","EI55","EI56","EI57","EI58","EI59","EI60","EI61","EI62","EI63","EI64","EI65","EI66","EI67","EI68","EI69","EI70","EI71","EI72","EI73","EI74","EI75","EI76","EI77","EI78","EI79","EI80","EI81"
0,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,0:20:38,1226.95,0,1888.8912617714695,1,0.75,1,12.8984,206.767,6.57695,0.633705,1,0.741379,-0.258213,-0.531424,0.24305,-0.143501,0.311263,2.65041,-0.402036,44.2174,30.3048,118.834,1.44639,0.0193548,0.20051,0.0818618,0.0001,0.352725,0.106856,0.161345,0.0644476,0.0562801,0.148917,-0.000882521,0.0270539,0.0516091,0.148639,1.36705,0.945033,1.14709,-0.151178,171.152,1.82623,1.5504,1.84473,0.201307,21.5876,39.8736,5.55763,5.02061,5.85583,1.13119,-119.198,79.9424,592.248,-0.0570408,-0.0220999,-0.0153052,-0.00160222,-0.248555,-0.127166,-0.107284,0.247506,-0.0014299,0.00126235,-0.00406982,0.00371298,0.0319581,-0.0576272,-0.295566,-0.00173733,0.0190153,-0.00554897,-0.00232536,0.00320651,-0.00374836,-1.12646,-0.0188563,0.276759,0.00169168,-0.00388891,0.160554,0.042859,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:11:08,4241.95,0,1522.6536804067621,1,0.75,1,12.7575,210.482,6.4364,0.63129,1,0.739454,-0.293488,-0.488655,0.269838,-0.146916,0.177583,2.99997,-0.408065,43.9202,30.543,120.598,1.44733,0.0180951,0.172684,0.0716666,0.0001,0.308436,0.0875158,0.155822,0.0697507,0.0581457,0.149105,0.00118184,0.0372916,0.0472892,0.143062,1.21485,0.788203,1.11523,-0.744725,171.34,1.74457,1.48974,1.85178,0.227956,19.7578,39.2897,5.03805,4.89394,6.01441,2.06073,-116.424,80.5542,573.445,-0.052179,-0.00804138,-0.0169649,0.0168917,-0.448138,-0.110521,0.328371,0.247543,0.00187417,0.00293569,-0.00287757,0.00454843,0.0152977,-0.0377503,-0.204631,-0.00113256,0.017803,0.00360437,-0.00152076,0.00526947,0.00102165,-1.00676,0.00866131,0.277567,0.000785239,-0.0031307,0.143075,0.0433841,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:12:10,4301.51,0,1649.5900354639641,1,0.75,1,13.1124,210.418,6.45377,0.631267,1,0.569605,-0.231897,-0.533984,0.238764,-0.145976,0.483989,2.91318,-0.381969,43.9683,30.5072,119.813,1.45039,0.0194145,0.186796,0.0814684,0.0001,0.324318,0.0931355,0.160656,0.0689841,0.0554684,0.157426,-0.0084514,0.0365742,0.0416453,0.148813,1.27066,0.845133,1.29855,-0.353423,168.323,1.76077,1.50419,1.97736,0.215296,22.4816,41.1089,5.4646,4.805,6.13892,1.11473,-111.044,82.0576,590.994,-0.0602712,-0.0170982,-0.0165045,0.0114929,-0.142225,-0.101483,-0.494104,0.248195,-0.000195175,0.000909757,-0.000134677,0.0062027,0.068547,-0.000611856,-0.20636,-0.00326392,0.0190666,-0.00938285,0.00368219,-0.00187968,-0.0103132,-0.824881,0.0102582,-0.164713,-0.00587017,-0.00364057,0.152393,0.0431866,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:10:54,4226.72,0,1588.2764793955130,1,0.75,1,12.5831,209.767,6.77642,0.631767,1,0.906668,-0.260222,-0.436092,0.270528,-0.156602,0.134503,2.99997,-0.438984,44.3017,30.2532,118.747,1.41338,0.0208649,0.176606,0.0848971,0.0001,0.381466,0.127352,0.178255,0.0782679,0.0719294,0.151749,0.000565215,0.0217191,0.068592,0.136581,1.18313,0.963501,0.935793,0.056348,173.372,1.95556,1.80764,1.96723,0.523279,16.2585,42.112,7.11967,6.11851,6.04564,1.39551,-128.231,89.0326,624.275,-0.0834225,-0.0408052,-0.0144337,-0.000766419,-0.607893,-0.270243,-0.319875,0.243145,-0.00746794,-0.00160449,-0.00613134,0.0030178,0.0798448,-0.097738,-0.511465,0.00389604,0.020624,-0.00483478,0.00407379,0.0104871,0.00178332,-1.12334,0.0939144,0.608794,0.00658942,-0.00372333,0.145693,0.041092,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:11:33,4274.24,0,879.85457291813827,1,0.75,1,13.0656,211.124,6.47154,0.630856,1,0.534992,-0.265188,-0.616302,0.260948,-0.131806,0.483023,2.20806,-0.573779,44.0569,30.5019,119.983,1.41169,0.0125159,0.200277,0.0995693,0.0001,0.343157,0.117355,0.164071,0.0554946,0.0479023,0.151208,-0.00452871,0.0302632,0.0491303,0.151058,1.18867,1.00143,1.23177,-0.0831273,168.371,1.82867,1.55169,1.88207,0.1689,23.9321,41.5685,5.45709,4.43324,5.5921,0.834077,-119.419,78.847,574.408,-0.053057,-0.037526,-0.0108338,-0.0183133,-0.426031,-0.140134,0.297503,0.242539,0.000534622,0.00200468,-0.00491592,0.00168395,-0.066177,-0.0537945,-0.101336,0.00041154,0.0123781,0.00322815,-0.00537407,-0.00668303,0.00279598,-1.1507,-0.123124,-0.132766,0.00935629,-0.00251085,0.16039,0.0405303,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:10:59,4232.45,0,1875.3815418898196,1,0.75,1,12.8944,205.324,6.65682,0.632018,1,0.762442,-0.163308,-0.582025,0.24932,-0.149932,0.583659,2.27931,-0.129726,44.1761,30.039,118.56,1.44515,0.0251878,0.199602,0.0733839,0.0001,0.312319,0.115328,0.166366,0.0662671,0.0660974,0.160293,0.0107018,0.0447088,0.0642292,0.166208,1.90432,1.43607,1.42017,0.153136,171.564,1.89431,1.59589,1.93653,0.485011,27.8987,40.277,4.66814,5.01391,6.28381,1.54458,-97.0167,76.989,584.217,-0.0465393,-0.0159999,-0.00347338,-0.00837167,0.142439,0.00869575,0.257042,0.247446,0.000709829,0.00280373,-0.00530418,0.00617247,0.0106074,-0.0635424,-0.25615,-0.00284495,0.0245755,-0.0189871,-0.0154962,0.00443552,-0.00935253,-1.21908,-0.0792853,0.183881,0.00168032,-0.00504179,0.160223,0.0444566,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:14:23,4437.37,0,2214.1080813371459,1,0.75,1,13.3195,205.19,6.66442,0.630733,1,0.915438,-0.266865,-0.56834,0.204292,-0.139061,0.328807,2.99997,-0.331084,44.2969,30.5685,118.824,1.44475,0.0192263,0.214746,0.0731534,0.0001,0.327598,0.107935,0.166832,0.0771542,0.0568143,0.154772,0.00494843,0.0365966,0.066851,0.158943,1.95521,1.19822,1.13582,0.379613,174.639,1.83075,1.52468,1.79483,0.331687,19.9098,37.4294,5.42311,4.8764,5.86845,1.52275,-108.877,77.9393,553.163,-0.0406961,-0.0109464,-0.0136242,-0.00501477,-0.128134,-0.000769297,0.211239,0.247373,-0.00436813,-0.00128399,-0.00319656,0.00156608,0.157976,-0.0422279,-0.506468,-0.00447144,0.0189637,-0.0219228,-0.0154338,0.0103393,-0.014551,-1.41638,0.0299676,0.383231,0.000689189,-0.00416093,0.169106,0.0427804,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:13:55,4408.1,0,1532.1883771527555,1,0.75,1,12.7134,202.067,6.77293,0.631591,1,0.491116,-0.247418,-0.504155,0.289015,-0.136512,0.426856,2.99997,-0.376137,44.3092,30.0451,118.503,1.42115,0.016458,0.181886,0.0793882,0.0001,0.376901,0.115901,0.15302,0.0704393,0.0446143,0.143049,0.0109029,0.0217574,0.050981,0.152816,1.54432,0.95058,1.10263,-0.302889,179.264,1.85779,1.33394,1.65738,0.125427,20.0589,35.6025,5.59948,4.42146,5.38355,1.19401,-128.123,72.4702,556.736,-0.0647118,-0.0311236,-0.0207368,-0.0222075,-0.0787822,-0.062262,-0.690046,0.243681,0.000168591,0.00131741,-0.00161566,0.00256914,0.116085,-0.0212706,-0.268258,-0.00277574,0.0162121,0.0121759,0.000314911,-0.000411411,-0.0043907,-0.862333,-0.083622,0.110807,-0.00775652,-0.00300717,0.149362,0.0432931,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:12:50,4342.99,0,2301.9450884531352,1,0.75,1,13.3534,204.872,6.50513,0.631584,1,0.98391,-0.254789,-0.568091,0.24119,-0.141265,0.339645,2.39842,-0.379977,44.095,30.5349,119.407,1.46322,0.0193043,0.23843,0.095233,0.0001,0.373328,0.105953,0.15641,0.0729845,0.0652687,0.139697,0.00272096,0.0318493,0.054929,0.182546,1.37749,0.890492,0.84837,-0.508896,178.879,2.10352,1.6515,1.72385,0.195666,21.0792,39.6244,5.66447,5.12735,6.04807,1.53513,-138.12,79.5299,613.213,-0.0504509,-0.0125695,-0.0107575,0.0116913,0.203234,-0.0217228,-0.364863,0.24896,-0.00263103,0.00125989,-0.0014535,0.00469342,0.050359,-0.0433454,-0.154003,0.000718308,0.0189377,-0.0173217,-0.00288585,0.0205775,-0.00354226,-1.38669,0.0843153,1.18141,-0.00560737,-0.0046017,0.181761,0.0441319,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,IMPMAP_I,1:38:07,5856.83,0,1914.3850969338050,1,0.75,1,12.9792,208.599,6.55603,0.632378,1,0.519884,-0.264933,-0.585831,0.318515,-0.140706,0.38928,2.99997,-0.491339,43.8714,30.3169,119.115,1.44694,0.0231533,0.202197,0.0755178,0.0001,0.311667,0.106273,0.161513,0.0529124,0.0330986,0.141357,-0.00626847,0.0239954,0.0340204,0.147335,1.18779,0.7625,0.858005,-0.491976,159.086,1.64286,1.2763,1.71105,-0.00534458,19.8724,37.6708,5.25066,4.43299,5.4227,0.788872,-123.293,72.3408,576.05,-0.0372915,-0.0218918,-0.00502772,-0.00764699,0.157562,0.0522265,-0.0929832,0.247672,0.00138956,0.00382021,-0.00565808,0.00800703,-0.0816681,-0.0920115,-0.145115,-0.00220749,0.0225951,-0.00620399,-0.00985807,0.00370594,-0.0208328,-0.903267,-0.0415485,0.0994199,0.00706528,-0.00468279,0.16168,0.044257,1e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
