"sample.id","model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","deltaofv","likelihood_ratio","relPDF","importance_ratio","probability_resample","resamples","sample_order","1. TVFREL","2. WT coef on TVCL","3. WT coef on TVV","4. TVCL","5. TVV","6. TVMAT","7 TVD1","GENO=1 on CL","GENO=3 on CL","GENO=4 on CL","GENO=1 on CL_","GENO=3 on CL_","GENO=4 on CL_","CLFOOD1","FRELFORM1","FRELNCIL1","1. IIV on RUV","2. IIV on FREL","3. IIV on CL","4. IIV on V","5. IIV on MAT","1. RUV","se1. TVFREL","se2. WT coef on TVCL","se3. WT coef on TVV","se4. TVCL","se5. TVV","se6. TVMAT","se7 TVD1","seGENO=1 on CL","seGENO=3 on CL","seGENO=4 on CL","seGENO=1 on CL_","seGENO=3 on CL_","seGENO=4 on CL_","seCLFOOD1","seFRELFORM1","seFRELNCIL1","se1. IIV on RUV","se2. IIV on FREL","se3. IIV on CL","se4. IIV on V","se5. IIV on MAT","se1. RUV","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_eta4(%)","shrinkage_eta5(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21","EI22"
0,input,1,1,1,1,1,0,0,0,0,0,0,0,3.2,16.3242,FOCE_I,0:09:31,479.85,67.25,-7317.2409496284045,0,NA,NA,NA,NA,NA,NA,1,0.75,1,13.2659,215.676,6.43001,0.617745,0.736993,-0.235342,-0.510217,-0.423531,0.309171,2.79876,0.253277,-0.144307,0.255211,0.0258609,0.250537,0.0475327,0.154341,0.144086,0.0444071,NA,NA,NA,0.337094,8.92296,0.151535,0.00741603,0.186901,0.0512634,0.053727,0.0991659,0.12055,0.548426,0.00958177,0.0100091,0.0798255,0.0031438,0.0208854,0.0139066,0.0170048,0.0124238,0.00102286,NA,NA,NA,NA,NA,NA,0.153688,0.235034,0.254396,0.300335,0.383968,0.502683,0.54076,0.589686,0.747028,0.890524,0.964212,1.02899,1.2358,1.40895,1.50191,1.61319,1.85088,2.28912,2.50884,NA,NA,NA
1,1,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7297.9528063745538,19.2881432538506,6.48086402096875e-05,4.8367384859837e-05,1.33992442215959,0.000153845493686211,0,0,1,0.75,1,13.9847,229.655,6.33752,0.608344,0.652313,-0.196751,-0.542876,-0.385009,0.567874,2.69027,0.25289,-0.147219,0.166129,0.0270183,0.215604,0.0631915,0.14476,0.134642,0.0457076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7299.9682682006742,17.2726814277303,0.000177535367768236,8.21324629243247e-05,2.16157365123475,0.000248184419967015,1,80,1,0.75,1,13.1086,206.621,6.41075,0.617137,0.968614,-0.323462,-0.540948,-0.478757,0.224321,2.67816,0.24942,-0.144428,0.183918,0.0212852,0.254463,0.0566523,0.126918,0.135708,0.0466442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,3,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7294.7465884237608,22.4943612046436,1.30440221450184e-05,4.45482786693918e-07,29.2806423382206,0.00336190220991165,1,83,1,0.75,1,13.1189,215.754,6.44209,0.593556,1.06162,-0.227745,-0.552648,-0.25199,0.246993,2.70939,0.253509,-0.126255,0.112465,0.021079,0.253466,0.0405779,0.177268,0.127716,0.046031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,4,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7302.5040946391155,14.736854989289,0.000630859429351373,0.000725217079279876,0.86989047469456,9.9877819464341e-05,0,0,1,0.75,1,13.1005,217.579,6.16319,0.605786,0.858164,-0.232619,-0.51073,-0.469388,0.394458,2.23878,0.262268,-0.154046,0.326801,0.0274345,0.249026,0.0549346,0.152297,0.137096,0.0429878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,5,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7302.4108957872413,14.8300538411631,0.000602136183029659,0.000468297641062598,1.28579802721913,0.000147630887986548,1,769,1,0.75,1,13.4468,231.521,6.20076,0.618831,0.904305,-0.23107,-0.489356,-0.494939,0.328394,2.59613,0.258,-0.141412,0.32146,0.029534,0.259701,0.0388165,0.164039,0.16042,0.0434498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,6,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7298.5680298127545,18.6729198156499,8.81509468502765e-05,5.72684093109269e-05,1.53925956580493,0.000176732466321357,0,0,1,0.75,1,13.2589,223.9,6.31215,0.624323,0.844129,-0.114096,-0.400972,-0.307587,0.521409,3.99965,0.263524,-0.135274,0.258218,0.0244027,0.252656,0.0447564,0.128255,0.147462,0.0463973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,7,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7292.3149096368052,24.9260399915993,3.86704466232706e-06,5.05276976761922e-06,0.765331657719512,8.78727372740736e-05,0,0,1,0.75,1,13.6005,217.442,6.32367,0.63703,0.609621,-0.262124,-0.64203,-0.497713,0.239479,2.43075,0.250507,-0.153821,0.318631,0.0201094,0.279764,0.0448241,0.174874,0.152585,0.045231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,8,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7298.0717206962336,19.1692289321709,6.87788367250801e-05,2.02346283298633e-06,33.9906597758322,0.00390269014240723,1,330,1,0.75,1,13.7512,237.338,6.27718,0.612629,1.02469,-0.156271,-0.444027,-0.40019,0.419477,4.00851,0.263875,-0.1386,0.462114,0.0213424,0.283626,0.0364049,0.178468,0.145062,0.0454642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,9,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7304.0784265665252,13.1625230618793,0.00138609958390024,0.0010024958682264,1.38264867500402,0.000158750944816531,1,292,1,0.75,1,13.0929,204.104,6.6482,0.614791,0.626737,-0.206197,-0.554234,-0.47364,0.168898,2.75219,0.250806,-0.144688,0.281768,0.0272366,0.242462,0.0489535,0.168241,0.151732,0.0441106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,10,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7307.4528112286062,9.7881383997983,0.00749087849035276,0.00266839148802687,2.80726367325203,0.000322320317904755,0,0,1,0.75,1,13.1118,210.604,6.46831,0.622756,0.819232,-0.240578,-0.487225,-0.375684,0.314181,3.74624,0.239915,-0.154473,0.342043,0.0270176,0.253023,0.0528642,0.14162,0.146557,0.0443676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,11,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7303.1070224811510,14.1339271472534,0.000852818702898766,0.000275018092945672,3.10095489996447,0.000356040930065896,1,718,1,0.75,1,13.2191,220.646,6.25392,0.619016,0.511168,-0.240251,-0.42186,-0.56007,0.242068,2.78957,0.256713,-0.142173,0.28614,0.0311795,0.237208,0.0518584,0.169994,0.139632,0.0431708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,12,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7296.5217368626545,20.7192127657499,3.16869262630138e-05,7.53826569938256e-06,4.20347697025448,0.000482628705763224,1,907,1,0.75,1,13.8777,233.216,6.12171,0.625904,0.752342,-0.299619,-0.515211,-0.409976,0.172341,2.69775,0.254888,-0.130348,0.280551,0.0226283,0.252623,0.0379533,0.16452,0.145117,0.0432771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,13,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7297.5462115385653,19.6947380898391,5.28861512272086e-05,1.23695407686673e-05,4.27551452525804,0.000490899808991277,1,916,1,0.75,1,13.6094,228.737,6.29675,0.597858,0.818811,-0.282588,-0.424673,-0.29425,0.276477,3.09335,0.260677,-0.129491,0.158123,0.0254523,0.21676,0.0593824,0.164029,0.148717,0.0451556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,14,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7297.3410215242175,19.899928104187,4.7729349676163e-05,7.72640970892557e-05,0.617742929436241,7.09271093045018e-05,0,0,1,0.75,1,12.7046,201.98,6.55734,0.629751,0.799342,-0.284043,-0.489432,-0.50593,0.0500051,3.33909,0.249151,-0.153055,0.148484,0.022614,0.260796,0.0384526,0.152859,0.134264,0.0437366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,15,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7301.9811911933275,15.2597584350769,0.000485719521196977,7.63665305997898e-05,6.36037171496586,0.000730275909845451,1,192,1,0.75,1,13.2308,217.108,6.50974,0.631288,0.934067,-0.269087,-0.476854,-0.291605,0.262863,3.60172,0.271144,-0.146516,0.163514,0.0350499,0.253088,0.0484661,0.156438,0.15003,0.0414718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,16,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7310.9656098261048,6.27533980229964,0.0433837686898643,0.02450128357365,1.77067330205188,0.000203302592150768,1,704,1,0.75,1,13.4179,223.249,6.3295,0.61964,0.735804,-0.264155,-0.417988,-0.377854,0.24326,3.70942,0.256922,-0.138887,0.260397,0.0264726,0.265821,0.0351299,0.169591,0.146335,0.0441719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,17,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7304.7613991477629,12.4795504806416,0.00195029382100096,0.00118639545156434,1.64388174147952,0.000188744823138646,0,0,1,0.75,1,13.5239,214.564,6.33854,0.620197,0.654152,-0.284657,-0.54982,-0.407657,0.372785,2.0908,0.227186,-0.147579,0.229209,0.0268201,0.248194,0.0539978,0.146271,0.132423,0.0447565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,18,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7305.2115812859774,12.029368342427,0.00244261969235425,0.00477583733652439,0.511453703348251,5.87233475171937e-05,0,0,1,0.75,1,13.2626,210.447,6.61775,0.626677,0.655249,-0.254058,-0.559155,-0.430691,0.223977,3.03613,0.257754,-0.147744,0.204575,0.0268028,0.265255,0.0454137,0.137342,0.132719,0.0431564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,19,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7300.0528359199288,17.1881137084756,0.000185203219084441,5.36759138339255e-05,3.45039713077758,0.000396162679938629,0,0,1,0.75,1,13.1141,204.295,6.40332,0.626484,0.485328,-0.264795,-0.557856,-0.518652,0.307308,1.8568,0.224665,-0.156966,0.288629,0.0280453,0.253041,0.0424978,0.145774,0.15132,0.0450601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,20,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7298.6859472383376,18.5550023900669,9.3504481247869e-05,6.24535486913541e-05,1.49718443878936,0.000171901545576447,0,0,1,0.75,1,13.2715,213.155,6.56935,0.610848,0.538746,-0.285765,-0.558898,-0.568227,0.391665,2.32715,0.268891,-0.14096,0.19634,0.0355098,0.26364,0.0385971,0.163475,0.143635,0.0432854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,1,21,1,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,FOCE_I,0:09:08,0,0,-7303.6999926195731,13.5409570088314,0.00114714560531396,0.000821724754078476,1.39602172092337,0.000160286391754825,0,0,1,0.75,1,13.487,217.83,6.60391,0.61978,0.646554,-0.287545,-0.44778,-0.48063,0.225228,2.70693,0.259706,-0.125004,0.321258,0.0258647,0.257572,0.044744,0.162024,0.150389,0.0431846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
