"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","LAMBDA","SHAPE","AGE EFFECT","EXPOSURE EFFECT","OMEGA(1,1)","seLAMBDA","seSHAPE","seAGE EFFECT","seEXPOSURE EFFECT","seOMEGA(1,1)","shrinkage_eta1(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5"
0,1,1,1,1,1,0,0,0,0,0,0,0,3.2,7.27406,FO,0:00:17,14.27,1.76,2982.3048062836820,0.0109033,1.31887,0.0134745,-0.010509,0,0.000655826,0.0669074,0.00918052,0.000635999,NA,NA,NA,0.222863,0.979989,1.17603,1.62112,NA
1,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FO,0:00:08,5.25,0,2975.3180021986109,0.0114629,1.44855,0.00324998,-0.0118215,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,0,1,0,0,0,0,0,0,0,0,3.5,NA,FO,0:00:06,3.67,0,2868.1646202215143,0.0109216,1.38622,0.0161576,-0.0113825,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,0,1,0,0,0,0,0,0,0,0,3.1,NA,FO,0:00:07,4.57,0,3116.7806305358795,0.0100362,1.28138,0.0214711,-0.00915685,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FO,0:00:06,3.71,0,3065.5184640453540,0.0113833,1.40567,0.0187828,-0.0104476,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,0,1,0,0,0,0,0,0,1,0,3.6,NA,FO,0:00:07,4.62,0,2837.3462962895687,0.0127292,1.36249,0.0162957,-0.0113925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,0,1,0,0,0,0,0,0,0,0,3.2,NA,FO,0:00:06,3.21,0,2932.0978688031355,0.0114546,1.36945,0.0194751,-0.0115384,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,0,1,0,0,0,0,0,0,0,0,4.8,NA,FO,0:00:07,4.53,0,2937.1298968186793,0.0117923,1.32383,0.0137623,-0.0116537,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FO,0:00:06,3.85,0,2947.1630655524064,0.00996635,1.36289,0.0178339,-0.0109605,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,0,1,0,0,0,0,0,0,0,0,4.3,NA,FO,0:00:07,4.82,0,3111.5861264847463,0.010988,1.32649,0.0301794,-0.010462,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1,0,1,0,0,0,0,0,0,0,0,3.3,NA,FO,0:00:05,3.69,0,2956.3003059638631,0.0107786,1.42872,0.0211277,-0.0108934,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,1,0,1,0,0,0,0,0,0,0,0,4.2,NA,FO,0:00:07,5.27,0,2971.2725705827174,0.0120265,1.38372,0.0115703,-0.0114745,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
